bulk_modulus_MPa,compressibility,density,domain,fiber_c3_MPa,fiber_c4,fiber_dispersion,fiber_transition_stretch,fiber_x_c5_MPa,fiber_x_direction,fiber_y_c5_MPa,fiber_y_direction,law,material_case,matrix_c1_MPa,matrix_c2_MPa,poisson_ratio,shear_modulus_MPa,young_modulus_MPa
161.33333333333337,compressible; derived from E and nu,not used (quasi-static analysis),backing_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_c4_low,,,0.45,16.689655172413794,48.4
150.00000000000003,compressible; derived from E and nu,not used (quasi-static analysis),conductive_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_c4_low,,,0.45,15.517241379310345,45.0
2.4,finite bulk penalty k,not used (quasi-static analysis),nylon,0.0,12.0,none; perfectly aligned families,1.05,0.2,"(1,0,0)",0.2,"(0,1,0)",uncoupled solid mixture: Mooney-Rivlin matrix + two uncoupled exp-linear fibres,textile_fiber_c4_high,0.01,0.0,,,
161.33333333333337,compressible; derived from E and nu,not used (quasi-static analysis),backing_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_c4_high,,,0.45,16.689655172413794,48.4
150.00000000000003,compressible; derived from E and nu,not used (quasi-static analysis),conductive_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_c4_high,,,0.45,15.517241379310345,45.0
2.4,finite bulk penalty k,not used (quasi-static analysis),nylon,0.0,8.0,none; perfectly aligned families,1.02,0.2,"(1,0,0)",0.2,"(0,1,0)",uncoupled solid mixture: Mooney-Rivlin matrix + two uncoupled exp-linear fibres,textile_fiber_transition_low,0.01,0.0,,,
161.33333333333337,compressible; derived from E and nu,not used (quasi-static analysis),backing_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_transition_low,,,0.45,16.689655172413794,48.4
150.00000000000003,compressible; derived from E and nu,not used (quasi-static analysis),conductive_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_transition_low,,,0.45,15.517241379310345,45.0
2.4,finite bulk penalty k,not used (quasi-static analysis),nylon,0.0,8.0,none; perfectly aligned families,1.08,0.2,"(1,0,0)",0.2,"(0,1,0)",uncoupled solid mixture: Mooney-Rivlin matrix + two uncoupled exp-linear fibres,textile_fiber_transition_high,0.01,0.0,,,
161.33333333333337,compressible; derived from E and nu,not used (quasi-static analysis),backing_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_transition_high,,,0.45,16.689655172413794,48.4
150.00000000000003,compressible; derived from E and nu,not used (quasi-static analysis),conductive_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_transition_high,,,0.45,15.517241379310345,45.0
2.4,finite bulk penalty k,not used (quasi-static analysis),nylon,0.0,8.0,none; perfectly aligned families,1.05,0.3,"(1,0,0)",0.1,"(0,1,0)",uncoupled solid mixture: Mooney-Rivlin matrix + two uncoupled exp-linear fibres,textile_fiber_x3,0.01,0.0,,,
161.33333333333337,compressible; derived from E and nu,not used (quasi-static analysis),backing_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_x3,,,0.45,16.689655172413794,48.4
150.00000000000003,compressible; derived from E and nu,not used (quasi-static analysis),conductive_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_x3,,,0.45,15.517241379310345,45.0
2.4,finite bulk penalty k,not used (quasi-static analysis),nylon,0.0,8.0,none; perfectly aligned families,1.05,0.1,"(1,0,0)",0.3,"(0,1,0)",uncoupled solid mixture: Mooney-Rivlin matrix + two uncoupled exp-linear fibres,textile_fiber_y3,0.01,0.0,,,
161.33333333333337,compressible; derived from E and nu,not used (quasi-static analysis),backing_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_y3,,,0.45,16.689655172413794,48.4
150.00000000000003,compressible; derived from E and nu,not used (quasi-static analysis),conductive_tpu,,,,,,,,,compressible neo-Hookean,textile_fiber_y3,,,0.45,15.517241379310345,45.0
